id,content,sender,sentTime
1,두번째 안건이네요,p51,2024-12-20 09:54:59
2,아까처럼 하청 업체 선정 심사에서 가장 중요하게 보는 요소를 고려하고 이야기 나눠봐요!,p50,2024-12-20 09:55:41
3,이번 프로젝트의 규모가 큰 만큼 우리 회사를 잘 알고 있는 1번 업체가 괜찮다는 생각이 드네요,p49,2024-12-20 09:56:29
4,저희 회사가 안정적이고 오랜 시간 검증되어온 선택을 해야하는 상황이라면,p51,2024-12-20 09:56:39
5,저는 리뷰 수와 프로젝트 수가 고려되어야할 것 같아요,p51,2024-12-20 09:57:08
6,"프로젝트 일정과 품질, 순조로운 협업 / 주요 고객의 의견 : 프로젝트의 안정적 진행을 위해 검증된 파트너와의 협력 선호",p50,2024-12-20 09:57:09
7,그런 점에서 업체 2번은,p51,2024-12-20 09:57:36
8,제가 생각하기에 하청업체는 기술의 전문성과 혁신성이 중요하다고 생각합니다. 그런 점에서 적은 수의 직원으로도 수상경력이 우수한 업체 2가 어떨지 제안해봅니다.,p52,2024-12-20 09:57:41
9,주니어의 의견도 고려해볼만 하네요,p49,2024-12-20 09:58:05
10,무지님 의견도 좋은데,p51,2024-12-20 09:58:27
11,저는 완료 프로젝트가 없는 것과 고객 피드백이 낮은 점이 걸리네요..,p51,2024-12-20 09:58:41
12,저희가 대기업인 만큼,p51,2024-12-20 09:58:53
13,"하지만 이번 프로젝트는 우리의 중요한 고객들이 관련되어 있는데, 고객 피드백이 걱정이 됩니다",p49,2024-12-20 09:58:54
14,많은 작업량을 하청에 요구할 수 있을텐데,p51,2024-12-20 09:59:07
15,감당할 수 있을지가 의문이에요,p51,2024-12-20 09:59:14
16,"그쵸, 아무래도 규모가 작으니",p49,2024-12-20 09:59:35
17,근데 또 2번의 성과점수가 유의미하게 높으니,p51,2024-12-20 10:00:31
18,하청은 투자의 개념도 섞여있다는 점에서,p51,2024-12-20 10:00:49
19,인원수가 많고 완료프로젝트 수가 많다는 점에서 단순한 작업이라면 업체 1에 맡기는 것도 좋다고 생각합니다.&nbsp;,p52,2024-12-20 10:00:53
20,"수상 경력이나 성과는 높지만, 고객 피드백이 낮은 것은 업체의 결과물이 실제 사람들에게 큰 효과를 보지 못한 것 같습니다",p49,2024-12-20 10:01:08
21,2번을 파트너로 선정하고 지켜보는 것도 괜찮을거 같기도 하구요,p51,2024-12-20 10:01:09
22,투가의 개념으로 보는 것도 좋네요,p49,2024-12-20 10:01:35
23,하지만 이번 프로젝트는 우리 회사에 중요한 일인 만큼 리스크를 감당할 수는 없으니,p49,2024-12-20 10:01:52
24,2번 업체는 다음에 작은 프로젝트를 함께 해보면서 협력을 이어나가면 어떨까요,p49,2024-12-20 10:02:09
25,하지만 중요한 프로젝트인만큼 커스터마이징이 중요한 요소로 손꼽힐 것 같습니다. 그러한 점에서 소규모로 좀 더 전문화된 업체인 업체 2에 맡겨보는게 어떠할까요??,p52,2024-12-20 10:02:25
26,소규모의 업체가 커스터마이징을 더 잘할 수 있다고 생각하는 이유가 있을까요?,p49,2024-12-20 10:02:59
27,다시 접속했습니다. 제가 보이시나요?,p50,2024-12-20 10:03:36
28,보입니다!,p52,2024-12-20 10:03:42
29,i can see you,p51,2024-12-20 10:03:45
30,오히려 규모가 크고 사람이 많아요 커스터마이징을 잘할 것 같은데,p49,2024-12-20 10:03:46
31,네 보입니다~,p49,2024-12-20 10:03:49
32,많아야,p49,2024-12-20 10:04:01
33,하청 비용을 알 수 있으면 좋았을텐데,p51,2024-12-20 10:04:13
34,저희 이번에 인도 시장을 공략하기 위한 때타월 제작 하청 맡겨야 하잖아요,p51,2024-12-20 10:04:57
35,업체 2번이 해외 시장이나 다양한 고객층을 공략하기에 경험이 충분할까요?,p51,2024-12-20 10:05:31
36,저는 어렵다고 생각합니다,p49,2024-12-20 10:06:26
37,제가 말씀드리고 싶은 점은 이번 프로젝트가 막 뛰어나게 성공해야 하는 것이 아니라 안정적으로 프로젝트가 수행되고 기존 고객에게 신뢰를 유지할 수 있으면 되는 것이라 안정성과 신뢰성이 중요하다면 귀사와 함께 일해 본 경험도 많고 프로세스 윈도우도 넓은 업체1이 더 적합하지 않을까 합니다,p50,2024-12-20 10:06:33
38,소규모로 운영되는 회사의 경우 프로젝트를 단일로 받아서 하는 경우가 많습니다. 그러다보니 회사의 모든 이목이 하나의 프로젝트로 집중됩니다. 인원이 많다는 점은 회사의 오너가 하나의 프로젝트에 집중할 수 없기에 모두 다 신경써서 진행하긴 힘들것 같다는 생각이 듭니다.,p52,2024-12-20 10:07:14
39,무지님의 생각은 어떠신가요?,p51,2024-12-20 10:07:20
40,하지만 안정적인 선택이라면 오랜기간 협업관계를 유지한 업체 1번이 조금 더 적합하지 않을까요?,p51,2024-12-20 10:07:57
41,무지님의 생각에 동의합니다. 다만 함께한 프로젝트가 28개에 협업 기간이 길다는 것은 그만큼 귀사를 존중하고 중요하게 생각한다는 것 아닐까요?,p50,2024-12-20 10:08:30
42,맞습니다. 그만큼 1번 업체가 보여준 신뢰가 있으니까요,p49,2024-12-20 10:08:55
43,2번 업체는 어떤 식으로 일하는지 알 수 있는 정확한 데이터가 없으니,p49,2024-12-20 10:09:18
44,주니어의 말에 선뜻 동의하기는 힘드네요,p49,2024-12-20 10:09:41
45,회사의 경쟁력 강화를 위해서는 제품의 혁신이 불가피하다고 보입니다. 그렇지만 업체 1에서는 오랜 시간 협업에도 불구하고 이렇다할 성과는 없습니다. 무난무난하지만 그렇다고 혁신적인 선택지는 아니지않을까 생각합니다!,p52,2024-12-20 10:09:55
46,저도 혁신적인 선택은 아니라고 생각합니다. 하지만 혁신적인 선택이 필요한 순간과 무난무난한 선택이 필요한 순간이 있는데 지금의 상황에선 무난무난한 선택이 고객에게도 회사에게도 적합해 보입니다.,p50,2024-12-20 10:10:56
47,젊은이의 패기 좋아요~ 하지만 저희팀이 처한 상황이 혁신을 위한 단계는 아닌 것 같아요.,p51,2024-12-20 10:11:01
48,그리고 혁신에 대한 마땅한 대책이 없이 새로운 선택을 하는 것은 조직에 위험이 될 수도 있을 것 같습니다!,p51,2024-12-20 10:11:29
49,동감합니다.,p50,2024-12-20 10:11:45
50,혁신안에 대해 추후에 본부와 논의해보고 진행하는건 어떤가요?,p51,2024-12-20 10:12:00
51,이번에는 안정적인 선택하구요!,p51,2024-12-20 10:12:10
52,대규모 프로젝트에 리스크를 질 수는 없죠. 동의합니다,p49,2024-12-20 10:12:14
53,좋습니다.,p50,2024-12-20 10:12:19
54,주니어? 1번 업체로 선정하는데 큰 불만이 있을까요?,p49,2024-12-20 10:12:46
55,주니어님?,p50,2024-12-20 10:13:55
56,흠.. 불만을 제시하지 않으시니 업체 1로 결정하는 것이 어떨까요?,p50,2024-12-20 10:14:55
57,부장님 전화가 왔나보네요ㅎㅎ,p51,2024-12-20 10:15:02
58,그러시죠~,p51,2024-12-20 10:15:13
59,이견이 없다면 1번 업체로 선정하겠습니다,p49,2024-12-20 10:15:26
60,넵!,p50,2024-12-20 10:15:31
61,최종 선택: 1번 업체<br>이유: 다양한 프로젝트를 함께 한 경험과 신뢰를 바탕으로 이번 프로젝트의 안정적인 진행이 기대되기에 1번 업체를 선정함,p49,2024-12-20 10:16:06
62,으로 마무리하겠습니다,p49,2024-12-20 10:16:10
63,"이 프로젝트의 목적이 시장 내 경쟁력 강화인 것으로 알고 있습니다. 그런 점에서 무난무난한 선택은 그저그런 기업, 또는 그 이하로 밖에 갈 수 없다고 생각합니다. 업체 1이 좋은 선택지로 여겨지는 것을 알지만 우리가 어디로 가야할지 생각해보면 업체 2도 한번쯤 고려해주셨으면 좋겠습니다!",p52,2024-12-20 10:16:33
64,업체 2번이 혁신의 측면에선 좋을 수 있는데,p51,2024-12-20 10:18:21
