id,content,sender,sentTime
1,"하청 업체 심사 관련 의견을 나눠볼까요?","🤵복서 무지","2024-12-19 13:21:27"
2,"네 좋습니다","P24👶","2024-12-19 13:21:40"
3,"넵 좋아요","🤵p22","2024-12-19 13:21:48"
4,"좋습니다","🤵p21","2024-12-19 13:21:53"
5,"저는 너무 위험한 선택은 피해야 한다고 생각해요","🤵p21","2024-12-19 13:22:28"
6,"저는 일단 보고서에 써있듯이 업체 3은 살짝 애매하다는 생각이 드네요","🤵복서 무지","2024-12-19 13:22:34"
7,"네네 3번보단 더 나은 선택지가 명확한 것 같습니다","🤵p21","2024-12-19 13:22:50"
8,"2번은 완료 프로젝트가 제로인게 걸리네요","🤵p21","2024-12-19 13:23:10"
9,"협력은 1번, 능력은 2번이 좋은 것 같아서 저는 오히려 3번이 괜찮을 거라고 생각하긴 했어요&nbsp;","🤵p22","2024-12-19 13:23:41"
10,"네 고객이 검증된 파트너와의 협력을 원했으니까 검증된 사례가 아예 없다는 것은 큰 결함이 될 것 같습니다","🤵복서 무지","2024-12-19 13:23:45"
11,"2번이 완료한 프로젝트가없긴하지만 그래도 수상내역이 있어 어느정도 신뢰가능성은 있는거 같습니다","P24👶","2024-12-19 13:24:18"
12,"그렇긴 한데 저희 회사와의 협업이 매끄럽게 돌아갈지는 검증이 전혀 안된거긴 해서...","🤵복서 무지","2024-12-19 13:24:54"
13,"아직 너무 작은 회사인데, 고객의 입장에서 이런 업체에게 일을 맡긴다면 안심하기 힘들지 않을까요?","🤵p21","2024-12-19 13:25:08"
14,"성과점수도 거의 만점에 가깝게 98점이니까 조금 도전적으로 가보는 것도 나쁘지않다고 봅니다","P24👶","2024-12-19 13:25:22"
15,"저는 실패 가능성을 최소화하는 게 최선의 선택이라고 생각됩니다","🤵p21","2024-12-19 13:25:25"
16,"업체2랑 협업하는 것도 저희 회사에게 큰 도움이 될것 같지만 이번만큼은 고객이 안정된 진행을 원한다고 하시니 2번 업체랑은 다음 프로젝트에 협업하는게 좋을 것 같아요","🤵복서 무지","2024-12-19 13:25:47"
17,"도전적인 시도를 할 상황은 아닌 것 같아요","🤵복서 무지","2024-12-19 13:25:58"
18,"네 저도 그렇게 생각합니다","🤵p21","2024-12-19 13:26:27"
19,"2번 업체가 엄청 좋은 성과를 보여주고 있다는 점에는 동의해요","🤵복서 무지","2024-12-19 13:26:27"
20,"성과점수 98점은 정말 대단한 것 같네요","🤵복서 무지","2024-12-19 13:26:45"
21,"그래도 제가 말씀드린 것처럼 저희 회사의 신뢰라는 것도 중요하니까 이번 프로젝트가 대규모인만큼 최고의 성과를 내는 것보다는 최악의 성과를 내는걸 피하는게 좋다고 생각합니다.","🤵복서 무지","2024-12-19 13:27:44"
22,"24님은 수상내역과 성과 점수를 중요시하게 보시는 걸까요?","🤵p21","2024-12-19 13:27:44"
23,"저도 무지님의 말에 동의합니다..ㅜ","🤵p21","2024-12-19 13:28:03"
24,"저도 이번이 대규모 프로젝트이기 때문에 협업 기간과 규모가 큰 1번이 좋을 것 같아요","🤵p22","2024-12-19 13:28:33"
25,"맞아요 고객 피드백이 4.6점인데 리뷰수 546과 큰수의 법칙을 고려한다면 상당히 신뢰도 높은 피드백이라고 생각해요","🤵복서 무지","2024-12-19 13:29:53"
26,"네 전체적인 점수도 그렇고 코멘트에 혁신적사고능력에 기술적인 전문성도 더해져서 업체2를 믿어볼만 하지않을까 생각했었습니다","P24👶","2024-12-19 13:30:51"
27,"업체 2도 나쁘지 않은 선택지이긴 하지만","🤵p21","2024-12-19 13:31:45"
28,"지금 당장의 상황에 적합한 선택지는 아닌 것 같네요","🤵p21","2024-12-19 13:32:02"
29,"그렇긴하지만 업체1은 오랜기간 운영한 것에 비해 특별한 경력이 없다는게 사실 조금 걸립니다","P24👶","2024-12-19 13:32:14"
30,"맞아요 24님 말씀에는 동의하는데 리스크가 존재하는것도 사실이니 소규모 프로젝트나 고객의 니즈가 안정성보다는 높은 성과일때 업체 2와의 협업을 한번 테스트해보고 나중에 더 큰 프로젝트에서 협업해보는게 어떨까요?","🤵복서 무지","2024-12-19 13:32:19"
31,"2업체는 저희가 새로운 프로젝트를 시작할 때 다시한번 컨택해보는 게 나쁘지 않을 것 같아요","🤵p21","2024-12-19 13:32:31"
32,"하지면 저희 회사와 10년이 넘는 시간동안 함께 일하며 만족스러운 결과를 내놓았으니, 다른 경력은 크게 고려할 부분이 아니라고 생각합니다","🤵p21","2024-12-19 13:33:12"
33,"슬슬 결정하는 게 좋을 것 같습니다!","🤵p21","2024-12-19 13:34:22"
34,"네 알겠습니다&nbsp;","P24👶","2024-12-19 13:34:26"
35,"그러면 업체1으로 결정하고 추후 협업 대상에 업체2를 리스트업해놓는 식으로 갈까요?","🤵복서 무지","2024-12-19 13:34:59"
36,"그게 좋을 것 같습니다","🤵p21","2024-12-19 13:35:12"
37,"저랑 받은 자료가 조금 다른 부분이 있는거같은데 고객분이 안정적인걸 원하신다고 하셨나요?","P24👶","2024-12-19 13:35:27"
38,"아 자료가 다른 부분이 있군요","🤵복서 무지","2024-12-19 13:35:56"
39,"저희가 보고 받은 자료에서는 안정적 진행ㅇ을 위해 검증된 파트너와의 협력을 선호한다고 하셔서","🤵복서 무지","2024-12-19 13:36:24"
40,"아 그렇군요","P24👶","2024-12-19 13:36:32"
41,"안정성이라는 가치를 우선으로 파악하고 있었습니다.","🤵복서 무지","2024-12-19 13:36:40"
42,"24님이 보고 받은 자료에서는 고객이 우선으로 원하신 가치가 달랐나요?","🤵복서 무지","2024-12-19 13:37:03"
43,"고객이 원하는 부분에 대한 내용은 없었고","P24👶","2024-12-19 13:37:32"
44,"성과위주의 내용을 담고있었습니다","P24👶","2024-12-19 13:38:04"
45,"아하 그랬군요... 혹시 고객의 저러한 니즈를 들으셨을 때 생각이 바뀌시지는 않으셨을까요?","🤵복서 무지","2024-12-19 13:38:29"
46,"그래서 조금 도전해보더라고 업체2가 좋겠다고 생각했었습니다","P24👶","2024-12-19 13:38:34"
47,"이제 결정을 해야 할 것 같아서...ㅎㅎ","🤵복서 무지","2024-12-19 13:38:43"
48,"최종 결정이 필요할 것 같습니다","🤵p21","2024-12-19 13:39:16"
49,"아 사실 적은인원으로도 높은성과를 낸다는게 업무적으로도 어느정도체계적으로 이뤄질수 있다고 생각해서요","P24👶","2024-12-19 13:39:27"
50,"주고받은부분이 달라서 의견이 갈릴 수&nbsp; 있다 생각합니다","P24👶","2024-12-19 13:39:47"
51,"투표로 진행하는게 어떨까요?","P24👶","2024-12-19 13:39:59"
52,"네 좋습니다","🤵p21","2024-12-19 13:40:08"
53,"넵 그러면 일단은 결정을 내려야 하는 상황이니 다수결로 하죠","🤵복서 무지","2024-12-19 13:40:12"
54,"저는 1 업체로 하겠습니다","🤵p21","2024-12-19 13:40:19"
55,"저도 1이요","🤵복서 무지","2024-12-19 13:40:25"
56,"저는 2로 가겠습니다","P24👶","2024-12-19 13:40:41"
57,"22님이 연결이 불안정하시다고 하니까 그러면 1로 결정해도 될까요?","🤵복서 무지","2024-12-19 13:40:58"
58,"<font _mstmutation=""1"" _msttexthash=""4130100"" _msthash=""293"">네!</font>","P24👶","2024-12-19 13:41:07"
59,"넵 그러면 제가 나왔던 의견 취합해서 보고 하겠습니다!","🤵복서 무지","2024-12-19 13:41:24"
60,"넵 감사합니다","🤵p21","2024-12-19 13:41:31"
61,"<font _mstmutation=""1"" _msttexthash=""35269858"" _msthash=""301"">네 감사합니다</font>","P24👶","2024-12-19 13:41:31"
62,"다음 프로젝트에 꼭 업체 2와 협업할 기회가 있었으면 좋겠습니다 :)","🤵p21","2024-12-19 13:42:04"
63,"역할이 다른게 되게 신경쓸게 많고 어렵네요 ㅜ","P24👶","2024-12-19 13:43:21"
